QuickDAQ Data
0001-01-01 00:00:00
Notes:;;
Sample Rate:;250; Hz;
Measurement Type;Time Waveform;Time Waveform;Time Waveform;Time Waveform;Time Waveform;Time Waveform;
Channel Name;DT9826-8(00).Ain 1;DT9826-8(00).Ain 2;DT9826-8(00).Ain 3;DT9826-8(00).Ain 4;DT9826-8(00).Ain 5;DT9826-8(00).Ain 6;
X Axis Units;Sec;Sec;Sec;Sec;Sec;Sec;
Y Axis Units;V;V;V;Amps;Amps;Amps;
Seconds;Real;Real;Real;Real;Real;Real;
 0,4640000000;-131,5603256226;-109,5938682556;241,0900592804; 0,3862380981;-0,9036064148;-1,2230873108;
 0,4680000000;-234,0552806854;171,2245941162;63,1036758423;-0,7331371307;-1,1360645294; 0,2682209015;
 0,4720000000;-13,2756233215;214,7653102875;-201,7655372620;-2,0718574524; 0,1680850983; 0,1430511475;
 0,4760000000;225,2464294434;-39,6802425385;-187,8170967102;-1,8107891083; 1,0859966278;-1,3315677643;
 0,4800000000;152,3356437683;-240,1070594788;86,2481594086;-0,3707408905; 0,3802776337;-2,0909309387;
 0,4840000000;-131,5114498138;-109,6804141998;241,0869598389; 0,4470348358;-1,1432170868;-1,2314319611;
 0,4880000000;-234,0383529663;171,1344718933;63,1706714630;-0,6711483002;-1,2969970703; 0,1215934753;
 0,4920000000;-13,4482383728;214,7955894470;-201,6704082489;-2,1791458130; 0,0548362732; 0,1049041748;
 0,4960000000;225,1410484314;-39,5026206970;-187,9405975342;-1,9550323486; 0,9739398956;-1,2385845184;
 0,5000000000;152,5337696075;-239,9992942810;85,9413146973;-0,2467632294; 0,2777576447;-1,9216537476;
 0,5040000000;-131,2787532806;-109,8535060883;241,0142421722; 0,4792213440;-1,0275840759;-1,0275840759;
 0,5080000000;-234,1005802155;170,9847450256;63,3897781372;-0,6866455078;-1,2314319611; 0,2646446228;
 0,5120000000;-13,5583877563;214,8249149323;-201,5473842621;-1,9884109497; 0,0166893005; 0,1716613770;
 0,5160000000;225,1367568970;-39,2937660217;-188,0440711975;-1,7142295837; 1,0526180267;-1,0979175568;
 0,5200000000;152,6496410370;-239,9742603302;85,7768058777;-0,1418590546; 0,3695487976;-1,9609928131;
 0,5240000000;-131,1459541321;-110,0347042084;241,0404682159; 0,3993511200;-1,1456012726;-1,0323524475;
 0,5280000000;-234,1291904449;170,8602905273;63,5952949524;-0,7462501526;-1,3113021851; 0,4422664642;
 0,5320000000;-13,7450695038;214,9741649628;-201,4858722687;-2,0742416382; 0,1835823059; 0,2717971802;
 0,5360000000;225,1238822937;-39,1466617584;-188,1694793701;-1,8048286438; 1,1968612671;-1,2874603271;
 0,5400000000;152,8124809265;-240,0796413422;85,7660770416;-0,1561641693; 0,3302097321;-2,2423267365;
 0,5440000000;-131,1042308807;-110,0981235504;241,0917282104; 0,5805492401;-1,1360645294;-1,2886524200;
 0,5480000000;-234,1263294220;170,8011627197;63,6610984802;-0,7033348083;-1,2958049774; 0,3015995026;
 0,5520000000;-13,8211250305;214,9593830109;-201,4012336731;-2,2113323212; 0,2110004425; 0,3540515900;
 0,5560000000;225,0349521637;-39,0343666077;-188,2829666138;-1,9276142120; 1,1014938354;-1,0657310486;
